T0 Wins % Last 5,T0 Passing Yrds,T0 Rushing Yrds,T0 Total Yrds,T0 Avg Pass Yrds/Att,T0 Avg Rush Yrds/Att,T0 Penalty Yrds,T0 Total Plays,T0 Fum Lost,T0 TOP (min),T0 First Downs,T0 Interceptions,T0 TDs,T0 Field Goals,T0 Points,T0 Sacked,T1 Wins % Last 5,T1 Passing Yrds,T1 Rushing Yrds,T1 Total Yrds,T1 Avg Pass Yrds/Att,T1 Avg Rush Yrds/Att,T1 Penalty Yrds,T1 Total Plays,T1 Fum Lost,T1 TOP (min),T1 First Downs,T1 Interceptions,T1 TDs,T1 Field Goals,T1 Points,T1 Sacked,Home Team,Result?
2,266,183,449,6.2,5.1,100,83,0,38,22,1,4,0,27,2,3,301,75,376,7.6,5.8,42,61,1,22,15,2,3,0,21,4,1,0
3,223,136,359,4.9,3.9,15,84,1,36,19,3,2,4,26,2,5,239,140,379,7.1,3.9,55,73,2,34,17,1,3,3,29,2,1,1
5,274,35,309,7.8,2.5,56,51,0,21,16,2,3,1,24,1,2,245,120,365,7,3,30,77,0,39,27,0,3,2,27,1,1,1
2,202,74,276,6.7,2.7,42,61,1,33,17,2,3,1,24,2,2,275,100,375,6.1,4.2,69,71,1,27,21,3,3,0,21,1,1,0
3,212,132,344,6.8,6.3,95,62,0,28,21,1,1,2,12,5,2,309,27,336,7.5,1,45,71,0,32,23,0,2,4,25,3,1,1
3,227,95,322,6,4.1,85,69,1,31,17,1,1,3,16,3,2,226,154,380,8.3,5.3,40,62,2,29,24,0,6,1,51,0,1,1
1,94,137,231,5.1,5.1,60,58,0,27,14,1,3,1,24,4,2,200,127,327,5.4,4,71,71,0,33,20,1,3,3,30,1,1,1
4,158,105,263,5.6,3,22,68,0,34,17,1,2,2,20,2,2,169,96,265,4.6,4.6,25,66,1,26,18,2,0,3,9,5,1,0
1,270,55,325,9.2,3.2,12,56,1,25,21,1,4,1,31,6,1,186,183,369,11,4.6,72,61,0,35,20,0,4,3,38,2,1,1
1,212,104,316,6.6,4,59,65,1,32,22,0,1,2,13,4,2,218,90,308,7.8,3.9,88,58,1,28,18,1,1,4,19,4,1,1
0,290,79,369,7,3,70,71,0,31,24,0,4,1,31,2,3,318,102,420,6.7,5.4,35,70,0,29,20,1,2,4,25,2,1,0
3,302,81,383,8.9,3.9,21,59,1,26,20,0,6,0,39,2,1,257,210,467,9.2,6,38,68,1,34,26,1,6,0,42,4,1,1
0,245,83,328,7,2.5,43,69,0,35,22,1,2,3,23,1,3,285,85,370,7.8,4.2,62,60,0,25,21,1,2,1,17,2,1,0
2,347,65,412,10.5,4.3,55,52,0,22,21,2,4,0,27,2,1,402,135,537,11.4,3.9,40,72,0,38,29,0,5,1,38,1,1,1
0,185,124,309,13.9,3.9,55,49,1,32,20,0,6,0,42,2,0,181,92,273,6.4,3.5,97,63,0,28,16,2,2,0,14,4,1,0
4,251,127,378,6.6,4.1,53,69,0,35,21,2,1,1,10,0,1,179,77,256,5.3,4.8,45,52,0,25,15,2,1,0,7,1,1,0
0,371,112,483,9.5,4,66,67,1,32,25,0,4,2,34,0,4,355,61,416,9.9,2.3,75,70,1,33,30,1,4,0,28,4,1,0
5,184,119,303,8.7,3.5,45,64,0,36,24,0,3,2,27,5,1,178,64,242,7.7,3,30,46,1,24,11,1,1,1,10,1,1,0
2,323,84,407,8.7,2.8,94,69,2,35,22,0,3,1,24,1,1,205,44,249,5.9,2.4,25,57,0,25,19,2,3,0,21,2,1,0
3,238,61,299,5.7,2.8,85,70,0,31,21,1,4,1,31,3,3,167,147,314,7.6,5.2,60,58,3,29,20,2,3,1,24,5,1,0
3,313,41,354,7.7,2.2,94,62,1,29,19,1,3,1,24,1,1,262,28,290,6.3,1.5,75,68,1,31,22,2,2,0,12,4,1,0
3,212,113,325,6.6,5.4,63,69,1,34,19,0,2,2,20,7,4,200,144,344,7.9,6,40,53,0,26,18,2,2,3,23,2,1,1
4,254,43,297,7.6,2.4,103,55,0,26,15,2,1,3,16,2,2,223,65,288,6.4,2.6,41,68,2,34,20,1,1,1,10,4,1,0
5,50,90,140,3.5,4.3,15,46,0,27,14,0,1,1,10,3,5,340,160,500,11.7,4.7,93,63,0,33,24,1,3,2,29,0,1,1
2,197,106,303,6.6,3.3,102,65,0,33,13,0,2,5,29,2,4,152,69,221,4.1,4.3,55,65,0,27,18,5,2,0,13,5,1,0
3,219,170,389,9.3,4.7,118,68,0,33,21,0,2,1,17,5,3,261,86,347,8.3,3.4,0,59,1,27,19,1,1,3,15,2,1,0
3,159,134,293,6.4,3.4,18,66,0,33,19,1,2,1,17,1,1,179,93,272,5.8,4,72,62,2,27,15,1,0,1,3,4,1,0
1,99,27,126,4.7,1.2,70,55,0,24,8,0,2,0,15,3,3,276,34,310,6,1.6,27,77,2,36,20,0,0,4,12,5,1,0
2,207,110,317,6.5,3.8,45,67,0,35,15,1,2,2,20,3,3,293,210,503,9.7,6.6,35,65,3,25,21,2,3,2,27,2,1,1
3,251,75,326,7.2,4.2,38,65,0,27,23,1,4,0,28,7,4,325,123,448,9.5,3.8,89,68,0,34,26,0,5,1,38,1,1,1
1,241,87,328,5.6,3.3,49,73,1,34,21,0,2,2,18,2,2,170,117,287,6,4.7,49,58,0,26,16,0,2,1,17,3,1,0
1,271,57,328,7.6,3.2,95,57,1,27,16,0,1,1,10,2,2,237,84,321,8,2.4,50,68,0,33,16,2,1,3,16,2,1,1
1,195,81,276,6,5.8,81,58,0,26,16,2,1,1,10,6,1,134,206,340,5.3,6.4,20,63,0,34,24,0,6,1,45,3,1,1
3,232,153,385,10.1,4.9,35,59,0,33,22,0,4,2,33,3,0,149,52,201,5.9,2.1,39,58,1,27,14,1,0,1,3,3,1,0
5,143,89,232,7.4,4,88,48,2,26,15,0,5,0,34,4,2,262,99,361,4.9,4.1,21,76,0,34,27,3,3,0,20,4,1,0
1,236,44,280,6.1,2.4,48,66,0,31,15,1,0,1,3,5,5,179,150,329,8.3,6,53,50,1,29,18,1,1,1,10,2,1,1
2,157,48,205,5.9,3,59,55,0,25,14,1,2,1,17,6,5,150,189,339,6.4,4.8,55,65,0,35,23,2,3,0,23,1,1,1
3,173,70,243,5.9,3.2,47,57,1,27,16,1,2,2,20,2,0,273,98,371,6.5,3.4,48,75,2,33,23,1,2,3,22,3,1,1
2,282,130,412,9.3,5,136,58,0,31,19,0,4,3,37,1,1,327,90,417,5.8,4.3,86,80,0,29,28,2,3,2,29,1,1,0
4,122,263,385,6.4,8,15,59,0,33,21,0,3,3,30,4,2,287,84,371,7,4.4,82,64,0,27,20,2,2,0,14,2,1,0
2,164,52,216,6.8,2.5,31,47,0,24,13,0,1,2,13,1,2,266,109,375,8.1,3.5,55,70,0,36,22,0,1,3,18,4,1,1
3,190,103,293,5.2,3.7,75,69,1,29,18,1,3,3,30,2,2,252,120,372,5.9,4.8,95,75,0,31,20,2,2,2,20,3,1,0
2,271,72,343,5.7,2.9,75,75,1,35,19,0,2,2,20,1,2,175,106,281,5.4,4.4,121,65,0,33,14,1,2,2,23,3,1,1
3,233,69,302,8.2,4.3,29,47,0,22,16,2,4,0,28,1,2,387,96,483,9.8,3.1,40,74,1,38,28,2,4,2,33,2,1,1
2,279,90,369,7.7,3.2,74,72,1,33,21,1,2,0,14,4,2,121,163,284,5,5.3,39,55,0,27,18,1,4,1,31,0,1,1
2,488,60,548,7.7,2.9,76,89,1,38,32,0,2,2,20,3,5,237,133,370,8.8,7.8,50,49,0,22,17,0,3,2,27,3,1,1
2,337,109,446,8.6,3.8,55,70,1,34,25,1,3,0,22,1,1,262,77,339,6.7,4.1,54,63,1,26,19,0,2,2,19,2,1,0
1,146,67,213,4.7,5.2,80,46,0,22,11,0,1,1,10,1,2,191,182,373,7.5,4.9,53,66,1,38,19,0,3,1,24,2,1,1
2,305,88,393,6.4,4.4,58,70,1,29,22,2,2,2,21,1,2,279,84,363,8.7,2.7,67,63,0,32,19,0,3,3,32,0,1,1
2,233,87,320,9.6,4.8,72,51,2,19,14,0,3,0,20,5,2,290,127,417,6.3,4,110,79,1,41,25,0,2,3,23,1,1,1
2,219,51,270,6.8,2.1,51,57,0,28,18,2,2,2,19,1,4,242,176,418,6,5.5,62,77,1,35,29,2,3,2,25,3,1,1
2,191,34,225,4.5,2,15,62,0,27,14,2,2,2,20,1,4,253,221,474,9.7,5.4,5,67,2,33,22,1,4,2,34,0,1,1
2,289,190,479,10.2,6.3,142,60,1,31,21,0,3,3,30,1,2,305,50,355,7.9,2.6,20,60,1,29,27,0,4,1,31,1,1,1
3,192,158,350,7.5,6.3,50,55,0,26,16,2,2,0,14,2,2,301,209,510,13,6.7,26,59,0,34,23,0,5,4,47,3,1,1
2,172,14,186,6.9,1.2,68,47,4,22,9,1,2,0,16,5,5,226,142,368,7.2,3.6,66,75,0,38,27,0,5,3,44,2,1,1
2,299,33,332,6.3,2.5,35,67,0,24,17,3,2,0,14,3,2,302,105,407,10.4,2.8,80,66,0,36,18,0,2,2,20,0,1,1
1,221,97,318,7.7,4,70,54,3,27,16,0,1,4,19,1,3,193,73,266,7.1,2.8,72,60,1,33,15,0,1,3,16,3,1,0
2,275,99,374,9.7,3,63,67,0,34,24,1,3,1,24,3,3,290,87,377,10.2,4,79,56,1,26,20,0,3,0,21,3,1,0
3,351,67,418,7.9,2.6,70,74,0,34,25,0,5,1,38,2,2,353,45,398,6.8,2.8,45,77,2,26,23,0,3,1,24,5,1,0
